okapi;okapi;;
orangutan;orangután;;
killer whale;orca;;
platypus;ornitorrinco;;
caterpillar;oruga;;
bear;oso;;
polar bear;oso blanco;;
grizzly bear;oso gris;;
anteater;oso hormiguero;;
panda;oso panda;;
brown bear;oso pardo;;
sloth;oso perezoso;;
oyster;ostra;;
sheep;oveja;;
oviparous;ovíparo;;
bird;pájaro;;
woodpecker;pájaro carpintero;;
dove;paloma;;
pigeon;paloma;;
ring dove;paloma torcaz;;
derbio;palometa;;
harvestfish;palometa;;
pompano;palometa;;
panther;pantera;;
pachyderm;paquidermo;;
parasite;parásito;;
linnet;pardillo;;
turkey;pavo;;
peacock;pavo real;;
pelican;pelícano;;
pekinese;pequinés;;
perch;perca;;
barnacle;percebe;;
partridge;perdiz;;
budgie;periquito;;
parakeet;periquito;;
dog;perro;;
hunting dog;perro de caza;;
pedigree dog;perro de raza;;
husky;perro esquimal;;
guide dog;perro guía;;
sheepdog;perro pastor;;
sausage dog;perro salchicha;;
whiting;pescadilla;;
fish;pescado;;
robin;petirrojo;;
swordfish;pez espada;;
hammerhead;pez martillo;;
penguin;pinguino;;
louse;piojo;;
python;pitón;;
hound;podenco;;
moth;polilla;;
chick;pollo;;
filly;potra;;
colt;potro;;
porcupine;puercoespín;;
flea;pulga;;
plant louse;pulgón;;
octopus;pulpo;;
puma;puma;;
lammergeier;quebrantahuesos;;
quetzal;quetzal;;
frog;rana;;
predatory;rapaz;;
monkfish;rape;;
bird of prey;ave de rapiña;;
rat;rata;;
mouse;ratón;;
ray;raya;;
tadpole;renacuajo;;
reindeer;reno;;
reptile;reptil;;
rhinoceros;rinoceronte;;
turbot;rodaballo;;
gnawing;roedor;;
nightingale;ruiseñor;;
bug;sabandija;;
salamander;salamandra;;
salmon;salmón;;
red mullet;salmonete;;
grasshopper;saltamontes;;
leech;sanguijuela;;
toad;sapo;;
sardine;sardina;;
cuttlefish;sepia;;
ape;simio;;
horsefly;tábano;;
tapir;tapir;;
badger;tejón;;
termite;termita;;
calf;ternero;;
tiger;tigre;;
earwig;tijereta;;
mole;topo;;
thrush;tordo;;
bull;toro;;
turtledove;tórtola;;
tortoise;tortuga;;
turtle;tortuga marina;;
newt;tritón;;
trout;trucha;;
toucan;tucán;;
capercaillie;urogallo;;
magpie;urraca;;
cow;vaca;;
swift;vencejo;;
vicuna;vicuña;;
mink;visón;;
viviparous mammal;vivíparo;;
viper;vívora;;
yak;yak;;
mare;yegua;;
drone;zángano;;
opossum;zarigueya;;
fox;zorro;;
