horticulturist;horticultor;
innkeeper;hostelero;
hotelier;hotelero;
humorist;humorista;
illustrator;ilustrador;
importer;importador;
civil engineer;ingeniero de caminos;
forestry expert;ingeniero forestal;silvicultor
industrial engineer;ingeniero industrial;
tenant;inquilino;
inspector;inspector;
governess;institutriz;
interpreter;intérprete;
controller;interventor;
inventor;inventor;
investigator;investigador;
boss;jefe;
chief;jefe;
head;jefe;
leader;jefe;
chef;jefe de cocina;
head of state;jefe de estado;
horseman;jinete;
labourer;jornalero;
jeweller;joyero;
judge;juez;
farmworker;labrador;
laundryman;lavandero;
woodcutter;leñador;
bookseller;librero;
linguist;linguista;
lithographer;litógrafo;
sports commentator;locutor deportivo;
announcer;locutor de radio;
newsreader;locutor de radio;
speech therapist;logopeda;
psychiatric nurse;loquero;
master;maestro;
gangster;mafioso;
mafioso;mafioso;
magistrate;magistrado;
magician;mago;
wizard;mago;
juggler;malabarista;
model maker;maquetista;
make-up artist;maquillador;
machinist;maquinista;
marathon runner;maratoniano;
sailor;marinero;
marquis/marchioness;marqués/a;
masseur/masseuse;masajista/a;
mathematician;matemático;
butler;mayordomo;
mechanic;mecánico;
typist;mecanógrafo;
doctor;médico;
obstetrician;médico partero;
metallurgist;metalúrgico;
metalworker;metalúrgico;
meteorologist;meteorólogo;
miner;minero;
minister;ministro;
mythologist;mitólogo;
model;modelo;
moderator;moderador;
miller;molinero;
nun;monja;
monk;monje;
musician;músico;
swimmer;nadador;
naturopath;médico naturista;
neurosurgeon;neurocirujano;
neurologist;neurólogo;
nanny;niñera;
notary;notario;
novelist;novelista;
bishop;obispo;
worker;obrero;
oculist;oculista;
odontologist;odontólogo;
clerk;oficinista;
office worker;oficinista;
ophthalmologist;oftalmólogo;
oncologist;oncólogo;
gold/silversmith;orfebre;
organist;organista;
ornithologist;ornitólogo;
orthopaedist;ortopedista;
osteologist;osteólogo;
osteopath;osteópata;
ENT specialist;otorrinolaringólogo;
otolaryngologist;otorrinolaringólogo;
paleologist;paleólogo;
paleontologist;paleontólogo;
baker;panadero;
pope;papa;
parachutist;paracaidista;
parliamentarian;parlamentario;
parish priest;párroco;
pastry cook;pastelero;
goatherd;pastor de cabras;
shepherd;pastor de ovejas;
cowherd;pastor de vacas;
skater;patinador;
clown;payaso;
pedagogue;pedagogo;
paediatrician;pediatra;puericultor
furrier;peletero;
hairdresser;peluquero;
perfumer;perfumista;
journalist;periodista;
fishmonger;pescadero;
fisherman;pescador;
pianist;pianista;
pilot;piloto;
painter;pintor;
painter and decorator;pintor de brocha gorda;
canoeist;piraguista;
pyrotechnic;pirotécnico;
fish farmer;piscicultor;
poet;poeta;
police;policía;
politician;político;
president;presidente;
moneylender;prestamista;
conjurer;prestidigitador;
prince/ss;príncipe/princesa;
attorney;procurador;
teacher;profesor;
applications programmer;programador de aplicaciones;
systems programmer;programador de sistemas;
computer programmer;programador informático;
psychologist;psicólogo;
psychiatrist;psiquiatra;
radiologist;radiólogo;
collector;recaudador;
rector;rector;
clock/watchmaker;relojero;
distributor;repartidor;
paperboy;repartidor de periódicos;
reporter;reportero;
restorer;restaurador (arte);
restaurateur;restaurador (hotel);
portraitist;retratista;
rheumatologist;reumatólogo;
sergeant;sargento;
tailor;sastre;
secretary;secretario;
senator;senador;
sexologist;sexólogo;
trade unionist;sindicalista;
sociologist;sociólogo;
lifeguard;socorrista;
soldier;soldado;
welder;soldador;
soprano;soprano;
scuba diver;submarinista;
supervisor;supervisor;
barman;tabernero;
upholsterer;tapicero;
ticket clerk;taquillero;
valuer;tasador;
taxi driver;taxista;
technician;técnico;
telegraphist;telegrafista;
shopkeeper;tendero;
tennis player;tenista;
theologist;teólogo;
theosophist;teósofo;
therapist;terapeuta;
tertullian;tertuliano;
dry cleaner;tintorero;
dyer;tintorero;
printer;tipógrafo;
typographer;tipógrafo;
puppeteer;titiritero;
topographer;topógrafo;
bullfighter;torero;
lathe operator;tornero;
toxicologist;toxicólogo;
translator;traductor;
arms dealer;traficante de armas;
drug dealer;traficante de drogas;
slave trader;traficante de esclavos;
transcriber;transcriptor;
carrier;transportista;
trapeze artist;trapecista;
traumatologist;traumatólogo;
crew member;tripulante;
tutor;tutor;
city/town planner;urbanista;
urologist;urólogo;
cowboy;vaquero;
vintager;vendimiador;
ventriloquist;ventrílocuo;
vet;veterinario;
veterinarian;veterinario;
glazier;vidriero;
security guard;vigilante;
store detective;vigilante;
wine grower;vinicultor;
violinist;violinista;
cellist;violonchelista;
vine grower;viticultor;
plasterer;yesero;
shoemaker;zapatero (fabricante);
cobbler;zapatero (reparación);
zoologist;zoólogo;
