oruga;caterpillar;;
oso;bear;;
oso blanco;polar bear;;
oso gris;grizzly bear;;
oso hormiguero;anteater;;
oso panda;panda;;
oso pardo;brown bear;;
oso perezoso;sloth;;
ostra;oyster;;
oveja;sheep;;
ovíparo;oviparous;;
pájaro;bird;;
pájaro carpintero;woodpecker;;
paloma;dove;pigeon;
paloma torcaz;ring dove;;
palometa;derbio;harvestfish;pompano
pantera;panther;;
papagayo;parrot;;
paquidermo;pachyderm;;
parásito;parasite;;
pardillo;linnet;;
pato;duck;;
pavo;turkey;;
pavo real;peacock;;
pelícano;pelican;;
pequinés;pekinese;;
perca;perch;;
percebe;barnacle;;
perdiz;partridge;;
periquito;budgie;parakeet;
perro;dog;;
perro de caza;hunting dog;;
perro de raza;pedigree dog;;
perro esquimal;husky;;
perro guía;guide dog;;
perro pastor;sheepdog;;
perro salchicha;sausage dog;;
pescadilla;whiting;;
pescado;fish;;
petirrojo;robin;;
pez espada;swordfish;;
pez martillo;hammerhead;;
pinguino;penguin;;
piojo;louse;;
pitón;python;;
podenco;hound;;
polilla;moth;;
pollo;chick;;
potra;filly;;
potro;colt;;
puercoespín;porcupine;;
pulga;flea;;
pulgón;plant louse;;
pulpo;octopus;;
puma;puma;;
quebrantahuesos;lammergeier;;
quetzal;quetzal;;
rana;frog;;
rapaz;predatory;;
rape;monkfish;;
ave de rapiña;bird of prey;;
rata;rat;;
ratón;mouse;;
raya;ray;;
rebeco;chamois;;
renacuajo;tadpole;;
reno;reindeer;;
reptil;reptile;;
rinoceronte;rhinoceros;;
rodaballo;turbot;;
roedor;gnawing;;
ruiseñor;nightingale;;
sabandija;bug;;
salamandra;salamander;;
salmón;salmon;;
salmonete;red mullet;;
saltamontes;grasshopper;;
sanguijuela;leech;;
sapo;toad;;
sardina;sardine;;
sepia;cuttlefish;;
serpiente;snake;;
simio;ape;;
tábano;horsefly;;
tapir;tapir;;
tejón;badger;;
termita;termite;;
ternero;calf;;
tiburón;shark;;
tigre;tiger;;
tijereta;earwig;;
topo;mole;;
tordo;thrush;;
toro;bull;;
tórtola;turtledove;;
tortuga;tortoise;;
tortuga marina;turtle;;
tritón;newt;;
trucha;trout;;
tucán;toucan;;
urogallo;capercaillie;;
urraca;magpie;;
vaca;cow;;
venado;deer;;
vencejo;swift;;
vicuña;vicuna;;
visón;mink;;
vivíparo;viviparous mammal;;
vívora;viper;;
yak;yak;;
yegua;mare;;
zángano;drone;;
zarigueya;opossum;;
zorro;fox;;
